exp,phi_0,dV_ges,eps_0,h_c_0,h_dis_0,V_dis_total,Vol_imbalance [%],status
2mmol_21C,0.000802395,998.4437317,0.499859416,0.102801178,0.018851822,0.0025713695555351686,0.0,success
2mmol_21C,0.000691448,995.6153772,0.500285857,0.10897448,0.013759564,0.001700869205005604,0.0,success
2mmol_21C,0.000595906,1000.709477,0.499898702,0.105020287,0.0188165,0.002814662076559566,0.0,success
2mmol_21C,0.000620887,998.966643,0.399515934,0.101170475,0.019607932,0.0029612189467574297,4.8839566469736176e-15,success
2mmol_21C,0.00059944,999.5966291,0.400065471,0.097689174,0.024784076,0.004078703037594168,4.880878580570606e-15,success
2mmol_21C,0.000616771,1003.679909,0.400382518,0.100596023,0.024416123,0.003974431546640171,4.861021658833235e-15,success
2mmol_21C,0.000595618,1007.0927,0.300563236,0.100118855,0.023324445,0.0038010641953809834,4.844548844594713e-15,success
2mmol_21C,0.000578936,993.7884748,0.298400949,0.099362309,0.024321518,0.003997581521107341,0.0,success
2mmol_21C,0.000492655,993.4503634,0.298595166,0.104217074,0.019255773,0.0030341065786516196,4.911075536262439e-15,success
2mmol_21C,0.000912927,1500.5413,0.500445132,0.103834646,0.020620128,0.003989725565309089,0.0,success
2mmol_21C,0.00098826,1501.123497,0.500030616,0.105810825,0.017689675,0.003153489412475567,0.0,success
2mmol_21C,0.000943609,1500.993866,0.499986655,0.103615651,0.021720821,0.00421602332807172,0.0,success
2mmol_21C,0.000778942,1498.665097,0.399869956,0.098667576,0.023848424,0.0050848844673384505,6.511007410463194e-15,success
2mmol_21C,0.000781086,1499.913252,0.400039439,0.095854442,0.027791892,0.006181741597212499,6.505589266151467e-15,success
2mmol_21C,0.000741807,1500.215265,0.399939766,0.097766817,0.027369943,0.006170416090356299,0.0,success
2mmol_21C,0.000637372,1500.051467,0.299942499,0.10857765,0.026047677,0.005899422001850412,1.3009979680076592e-14,success
2mmol_21C,0.000631812,1500.25854,0.300049352,0.112029864,0.040719332,0.009576067653712887,0.0,success
2mmol_21C,0.000561061,1500.685931,0.299964002,0.118530145,0.039184579,0.009037300961169094,0.0,success
2mmol_21C,0.000801282,1995.993525,0.499700035,0.101849986,0.023888031,0.006267467901355257,9.777406018759043e-15,success
2mmol_21C,0.000810026,2004.211086,0.499961184,0.100430336,0.029039612,0.00794817484079291,0.0,success
