experiment,alpha,total_mape,total_exp
ye,0.5,32,9
ye,0.6,28,9
ye,0.7,26,9
ye,0.8,26,9
ye,0.9,23,9
ye,1.0,24,9
ye,1.1,66,9
ye,1.2000000000000002,69,9
ye,1.3,70,9
ye,1.4,70,9
ye,1.5,70,9
ye,1.6,70,9
ye,1.7000000000000002,70,9
ye,1.8,70,9
ye,1.9000000000000001,71,9
ye,2.0,71,9
ye,2.1,71,9
ye,2.2,71,9
ye,2.3,71,9
ye,2.4000000000000004,71,9
ye,2.5,71,9
ye,2.6,71,9
ye,2.7,71,9
ye,2.8000000000000003,72,9
ye,2.9000000000000004,71,9
ye,3.0,72,9
ye,3.1,71,9
ye,3.2,72,9
ye,3.3000000000000003,72,9
ye,3.4000000000000004,72,9
ye,3.5,72,9
ye,3.6,72,9
ye,3.7,72,9
ye,3.8000000000000003,72,9
ye,3.9000000000000004,72,9
ye,4.0,72,9
ye,4.1,72,9
ye,4.2,72,9
ye,4.300000000000001,72,9
ye,4.4,72,9
ye,4.5,72,9
ye,4.6000000000000005,72,9
ye,4.7,72,9
ye,4.8,72,9
ye,4.9,72,9
ye,5.0,72,9
