N_x,V_dis_total,Vol_imbalance [%],status
201,0.0016852510471974636,1.0164395367051604e-14,success
401,0.0016987110841138898,1.5246593050577406e-14,success
501,0.0018218969538891044,7.623296525288703e-15,success
601,0.0019133916559575255,1.7787691892340307e-14,success
801,0.0019799174592584163,7.623296525288703e-15,success
1001,0.00199926989354572,1.0164395367051604e-14,success
1101,0.001997228680600382,7.623296525288703e-15,success
1201,0.001996354219495438,7.623296525288703e-15,success
1501,0.001998254026820772,7.623296525288703e-15,success
1801,0.001929886073089144,7.623296525288703e-15,success
